Force   	Mean    	Std     
0.00000 	3.07679 	0.68525 
0.00000 	2.41953 	0.70731 
0.00000 	2.57269 	0.84274 
0.00000 	2.68281 	0.99362 
0.00000 	2.44124 	0.73190 
5.26316 	4.09712 	0.90483 
5.26316 	4.08020 	1.27006 
5.26316 	3.93301 	1.27442 
5.26316 	4.05662 	1.25277 
5.26316 	3.82940 	1.33741 
10.52632	4.77633 	1.53659 
10.52632	4.66472 	1.64130 
10.52632	4.66036 	1.55127 
10.52632	4.76141 	1.58034 
10.52632	4.71239 	1.50177 
15.78947	5.47531 	1.55672 
15.78947	4.96703 	2.10985 
15.78947	5.24938 	1.94679 
15.78947	5.19538 	1.94955 
15.78947	5.26957 	1.78051 
21.05263	5.67614 	2.05618 
21.05263	5.49480 	2.26222 
21.05263	5.45174 	2.40312 
21.05263	5.62314 	2.19639 
21.05263	5.69529 	1.98881 
26.31579	6.11304 	2.18963 
26.31579	5.93931 	2.44261 
26.31579	5.98115 	2.41411 
26.31579	6.04413 	2.33328 
26.31579	6.07592 	2.23192 
31.57895	6.47513 	2.27218 
31.57895	6.20574 	2.68872 
31.57895	6.13749 	2.81646 
31.57895	6.15856 	2.81355 
31.57895	6.26936 	2.58355 
36.84211	6.66406 	2.66891 
36.84211	6.51414 	2.94043 
36.84211	6.43567 	2.96855 
36.84211	6.53915 	2.84586 
36.84211	6.58035 	2.82252 
42.10526	6.90333 	2.99161 
42.10526	6.74893 	3.18719 
42.10526	6.73234 	3.21954 
42.10526	6.71559 	3.28600 
42.10526	6.86280 	3.03441 
47.36842	7.31102 	3.10798 
47.36842	7.14117 	3.31912 
47.36842	7.05735 	3.45596 
47.36842	7.09123 	3.41217 
47.36842	6.96748 	3.49745 
52.63158	7.58549 	3.31698 
52.63158	7.48811 	3.43798 
52.63158	7.28251 	3.74681 
52.63158	7.44904 	3.54574 
52.63158	7.39471 	3.52945 
57.89474	7.82144 	3.61028 
57.89474	7.63536 	3.86511 
57.89474	7.67814 	3.78084 
57.89474	7.79876 	3.61973 
57.89474	7.83871 	3.55556 
63.15789	8.17713 	3.74970 
63.15789	8.06584 	3.89974 
63.15789	7.93903 	4.10901 
63.15789	7.89333 	4.10722 
63.15789	8.15862 	3.79514 
68.42105	8.57557 	3.87267 
68.42105	8.31974 	4.17235 
68.42105	8.39277 	4.10825 
68.42105	8.16860 	4.36502 
68.42105	8.30750 	4.08138 
73.68421	8.78236 	4.21988 
73.68421	8.69073 	4.28260 
73.68421	8.55702 	4.49871 
73.68421	8.64736 	4.36175 
73.68421	8.64034 	4.35676 
78.94737	9.07175 	4.43903 
78.94737	8.98640 	4.64575 
78.94737	8.98850 	4.64744 
78.94737	8.99165 	4.58302 
78.94737	8.96727 	4.59074 
84.21053	9.33724 	4.69587 
84.21053	9.30853 	4.79156 
84.21053	9.26647 	4.86356 
84.21053	9.21932 	4.93685 
84.21053	9.18483 	4.92001 
89.47368	9.66244 	4.85313 
89.47368	9.41039 	5.23523 
89.47368	9.55342 	5.07515 
89.47368	9.63573 	5.02349 
89.47368	9.53903 	5.06682 
94.73684	10.10223	4.93836 
94.73684	9.83451 	5.30562 
94.73684	9.86062 	5.25441 
94.73684	9.86037 	5.27017 
94.73684	9.91078 	5.15329 
100.00000	10.29049	5.33876 
100.00000	10.03665	5.61490 
100.00000	10.06982	5.51965 
100.00000	10.16872	5.44317 
100.00000	10.24035	5.34656 
